"Result","T","T_0","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.14463e+01,1.10296e-09,1.10296e-09,9.47155e-02,0.00000e+00,0.00000e+00,1,4.96919e+00,4.96919e+00,9.55614e-01,0.00000e+00
-2.16116e+01,8.55986e-10,8.55986e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.00742e+00,5.00742e+00,9.55614e-01,0.00000e+00
-2.17769e+01,6.09009e-10,6.09009e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.04564e+00,5.04564e+00,9.55614e-01,0.00000e+00
-2.19422e+01,3.62032e-10,3.62032e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.08387e+00,5.08387e+00,9.55614e-01,0.00000e+00
-2.21077e+01,2.69226e-10,2.69226e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.12209e+00,5.12209e+00,9.55614e-01,0.00000e+00
-2.22734e+01,2.53504e-10,2.53504e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.16032e+00,5.16032e+00,9.55614e-01,0.00000e+00
-2.24391e+01,2.37783e-10,2.37783e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.19854e+00,5.19854e+00,9.55614e-01,0.00000e+00
-2.26047e+01,2.22061e-10,2.22061e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.23676e+00,5.23676e+00,9.55614e-01,0.00000e+00
-2.27704e+01,2.06340e-10,2.06340e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.27499e+00,5.27499e+00,9.55614e-01,0.00000e+00
-2.29361e+01,1.90618e-10,1.90618e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.31321e+00,5.31321e+00,9.55614e-01,0.00000e+00
-2.31017e+01,1.74897e-10,1.74897e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.35144e+00,5.35144e+00,9.55614e-01,0.00000e+00
-2.32674e+01,1.59176e-10,1.59176e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.38966e+00,5.38966e+00,9.55614e-01,0.00000e+00
-2.34331e+01,1.43454e-10,1.43454e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.42789e+00,5.42789e+00,9.55614e-01,0.00000e+00
-2.35987e+01,1.27733e-10,1.27733e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.46611e+00,5.46611e+00,9.55614e-01,0.00000e+00
-2.37644e+01,1.12011e-10,1.12011e-10,9.47155e-02,0.00000e+00,0.00000e+00,1,5.50434e+00,5.50434e+00,9.55614e-01,0.00000e+00
-2.39301e+01,9.62901e-11,9.62901e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.54256e+00,5.54256e+00,9.55614e-01,0.00000e+00
-2.40957e+01,8.05686e-11,8.05686e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.58079e+00,5.58079e+00,9.55614e-01,0.00000e+00
-2.42614e+01,6.48472e-11,6.48472e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.61901e+00,5.61901e+00,9.55614e-01,0.00000e+00
-2.44271e+01,4.91259e-11,4.91259e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.65723e+00,5.65723e+00,9.55614e-01,0.00000e+00
-2.45927e+01,3.34044e-11,3.34044e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.69546e+00,5.69546e+00,9.55614e-01,0.00000e+00
-2.47584e+01,1.76830e-11,1.76830e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.73368e+00,5.73368e+00,9.55614e-01,0.00000e+00
-2.49247e+01,1.66884e-11,1.66884e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.77191e+00,5.77191e+00,9.55614e-01,0.00000e+00
-2.50910e+01,1.56938e-11,1.56938e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.81013e+00,5.81013e+00,9.55614e-01,0.00000e+00
-2.52573e+01,1.46992e-11,1.46992e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.84836e+00,5.84836e+00,9.55614e-01,0.00000e+00
-2.54235e+01,1.37046e-11,1.37046e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.88658e+00,5.88658e+00,9.55614e-01,0.00000e+00
-2.55898e+01,1.27101e-11,1.27101e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.92481e+00,5.92481e+00,9.55614e-01,0.00000e+00
-2.57561e+01,1.17155e-11,1.17155e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,5.96303e+00,5.96303e+00,9.55614e-01,0.00000e+00
-2.59224e+01,1.07209e-11,1.07209e-11,9.47155e-02,0.00000e+00,0.00000e+00,1,6.00126e+00,6.00126e+00,9.55614e-01,0.00000e+00
-2.60887e+01,9.72629e-12,9.72629e-12,9.47155e-02,0.00000e+00,0.00000e+00,1,6.03948e+00,6.03948e+00,9.55614e-01,0.00000e+00
-2.62550e+01,8.73170e-12,8.73170e-12,9.47155e-02,0.00000e+00,0.00000e+00,1,6.07770e+00,6.07770e+00,9.55614e-01,0.00000e+00
-2.64212e+01,7.73711e-12,7.73711e-12,9.47155e-02,0.00000e+00,0.00000e+00,1,6.11593e+00,6.11593e+00,9.55614e-01,0.00000e+00
-2.65875e+01,6.74252e-12,6.74252e-12,9.47155e-02,0.00000e+00,0.00000e+00,1,6.15415e+00,6.15415e+00,9.55614e-01,0.00000e+00
-2.67538e+01,5.74794e-12,5.74794e-12,9.47155e-02,0.00000e+00,0.00000e+00,1,6.19238e+00,6.19238e+00,9.55614e-01,0.00000e+00
-2.69201e+01,4.75335e-12,4.75335e-12,9.47155e-02,0.00000e+00,0.00000e+00,1,6.23060e+00,6.23060e+00,9.55614e-01,0.00000e+00
