Time	inlet	inlet	outlet	outlet	solid	solid	 volume 	 average
267	-2.58741e-06	0.348519	2.58741e-06	0.348519	4.15011	3	0.174723	1
268	-2.57793e-06	0.347241	2.57793e-06	0.347241	4.15011	3	0.174723	1
269	-2.56851e-06	0.345972	2.56851e-06	0.345972	4.15011	3	0.174723	1
270	-2.55913e-06	0.34471	2.55913e-06	0.34471	4.15011	3	0.174723	1
271	-2.54981e-06	0.343454	2.54981e-06	0.343454	4.15011	3	0.174723	1
272	-2.54057e-06	0.342209	2.54057e-06	0.342209	4.15011	3	0.174723	1
273	-2.5315e-06	0.340988	2.5315e-06	0.340988	4.15011	3	0.174723	1
274	-2.52248e-06	0.339773	2.52248e-06	0.339773	4.15011	3	0.174723	1
275	-2.51351e-06	0.338564	2.51351e-06	0.338564	4.15011	3	0.174723	1
276	-2.50457e-06	0.337361	2.50457e-06	0.337361	4.15011	3	0.174723	1
277	-2.49569e-06	0.336164	2.49569e-06	0.336164	4.15011	3	0.174723	1
278	-2.48685e-06	0.334973	2.48685e-06	0.334973	4.15011	3	0.174723	1
279	-2.47805e-06	0.333788	2.47805e-06	0.333788	4.15011	3	0.174723	1
280	-2.46929e-06	0.332608	2.46929e-06	0.332608	4.15011	3	0.174723	1
281	-2.46069e-06	0.33145	2.46069e-06	0.33145	4.15011	3	0.174723	1
282	-2.45221e-06	0.330307	2.45221e-06	0.330307	4.15011	3	0.174723	1
283	-2.44376e-06	0.32917	2.44376e-06	0.32917	4.15011	3	0.174723	1
284	-2.43543e-06	0.328047	2.43543e-06	0.328047	4.15011	3	0.174723	1
285	-2.4272e-06	0.326939	2.4272e-06	0.326939	4.15011	3	0.174723	1
